fold,strategy,test_start,test_end,total_return,cagr,vol,sharpe,mdd,calmar,avg_turnover,mean_ppo_ratio,vix_high_threshold
3,Regime_DD_Guard,2015-01-01,2015-12-31,0.0133483093424287,0.0133483093424287,0.1355506709983053,0.15888087853970662,-0.08181874746983708,0.16314487516873347,0.07914127366392708,0.4665791378669444,18.79800033569336
3,Turnover_Aware_DD_Guard,2015-01-01,2015-12-31,0.013172158179634685,0.013172158179634685,0.13558296054548688,0.15759796817653476,-0.08202761365929001,0.16058199906127438,0.07913405476476416,0.5,18.79800033569336
3,Vol_Target_DD_Guard,2015-01-01,2015-12-31,0.013535852358228517,0.013535852358228517,0.1355776635862942,0.16025057146646357,-0.08203994916125268,0.16499098910487228,0.08012421038292106,0.4691131071160008,18.79800033569336
3,Regime_Tactical,2015-01-01,2015-12-31,0.013666323203678443,0.013666323203678443,0.13530546907042248,0.16124885512977782,-0.0812095622421185,0.16828465548100868,0.07931803050099266,0.5208333333333334,18.79800033569336
4,PPO_Only,2016-01-01,2016-12-31,0.1791406156440729,0.1791406156440729,0.0901771299972412,1.88038975416524,-0.04139495459715592,4.327595413195137,0.43896051658824614,1.0,18.422000122070312
4,A2C_Only,2016-01-01,2016-12-31,0.11614822852425233,0.11614822852425233,0.08821253455554305,1.2912153108284525,-0.04266672718395348,2.722220244910992,0.19220587311881002,0.0,18.422000122070312
4,Manual_PPO25_A2C75,2016-01-01,2016-12-31,0.13255208099660587,0.13255208099660587,0.0801538030553991,1.5972318621006891,-0.03841411607599898,3.450608644342177,0.2195371404162992,0.25,18.422000122070312
4,Manual_PPO50_A2C50,2016-01-01,2016-12-31,0.14854028391265062,0.14854028391265062,0.0776662864332247,1.8285435425302523,-0.0374281813731121,3.968674898518044,0.2686779160854822,0.5,18.422000122070312
4,Manual_PPO75_A2C25,2016-01-01,2016-12-31,0.16405844057554697,0.16405844057554697,0.08126427946521378,1.9178056361830407,-0.03939256026555882,4.164706215325242,0.3443314739101499,0.75,18.422000122070312
4,Auto_RollingSharpe,2016-01-01,2016-12-31,0.11666142010849301,0.11666142010849301,0.08140410661639706,1.398443798919505,-0.04110215870244083,2.8383282968922297,0.3744258488850498,0.636898467919441,18.422000122070312
4,Auto_DD_Guard_v1,2016-01-01,2016-12-31,0.11666142010849301,0.11666142010849301,0.08140410661639706,1.398443798919505,-0.04110215870244083,2.8383282968922297,0.3744258488850498,0.636898467919441,18.422000122070312
4,Auto_DD_Guard_v2_Strong,2016-01-01,2016-12-31,0.11666142010849301,0.11666142010849301,0.08140410661639706,1.398443798919505,-0.04110215870244083,2.8383282968922297,0.3744258488850498,0.636898467919441,18.422000122070312
4,Regime_DD_Guard,2016-01-01,2016-12-31,0.12196874049434059,0.12196874049434059,0.0791165291098232,1.4972320633287388,-0.04269050370198657,2.8570461793043886,0.30729625391478443,0.6280731810418789,18.422000122070312
4,Turnover_Aware_DD_Guard,2016-01-01,2016-12-31,0.14289366766628442,0.14289366766628442,0.07703906789768107,1.7781255502038023,-0.03917520230769467,3.6475540456422277,0.2867377875402893,0.5933187739979128,18.422000122070312
4,Vol_Target_DD_Guard,2016-01-01,2016-12-31,0.11666142010849301,0.11666142010849301,0.08140410661639706,1.398443798919505,-0.04110215870244083,2.8383282968922297,0.3744258488850498,0.636898467919441,18.422000122070312
4,Regime_Tactical,2016-01-01,2016-12-31,0.13681460979354831,0.13681460979354831,0.07753290698427719,1.6976559095727457,-0.04175971141549417,3.2762345609214574,0.2863407455344856,0.5666666666666668,18.422000122070312
5,PPO_Only,2017-01-01,2017-12-31,0.03700143943358336,0.03700143943358336,0.05487552056242442,0.6881171830812443,-0.02529990160190998,1.4625131755765401,0.2817015914160779,1.0,17.63600006103516
5,A2C_Only,2017-01-01,2017-12-31,0.21340566137111505,0.21340566137111505,0.03856072351809397,5.07424612642349,0.0,,0.08664505210799829,0.0,17.63600006103516
5,Manual_PPO25_A2C75,2017-01-01,2017-12-31,0.16746820703278997,0.16746820703278997,0.031485166929194196,4.963839644474388,-0.0011522764144760167,145.33683491989555,0.11920829339935853,0.25,17.63600006103516
5,Manual_PPO50_A2C50,2017-01-01,2017-12-31,0.12277854810046529,0.12277854810046529,0.032849412293662006,3.557330310375796,-0.0029800220964678603,41.200549568404675,0.16041696074520592,0.5,17.63600006103516
5,Manual_PPO75_A2C25,2017-01-01,2017-12-31,0.07930883705141056,0.07930883705141056,0.04185853438288335,1.8481650183253138,-0.012591364571883146,6.298668948757891,0.21223092209462646,0.75,17.63600006103516
5,Auto_RollingSharpe,2017-01-01,2017-12-31,0.1785287880838693,0.1785287880838693,0.03460215559947806,4.795572710077608,-0.0029800220964678603,59.90854507269414,0.13896886455119786,0.15982708185894737,17.63600006103516
5,Auto_DD_Guard_v1,2017-01-01,2017-12-31,0.1785287880838693,0.1785287880838693,0.03460215559947806,4.795572710077608,-0.0029800220964678603,59.90854507269414,0.13896886455119786,0.15982708185894737,17.63600006103516
5,Auto_DD_Guard_v2_Strong,2017-01-01,2017-12-31,0.1785287880838693,0.1785287880838693,0.03460215559947806,4.795572710077608,-0.0029800220964678603,59.90854507269414,0.13896886455119786,0.15982708185894737,17.63600006103516
5,Regime_DD_Guard,2017-01-01,2017-12-31,0.11398573028602277,0.11398573028602277,0.03415849308527698,3.1898591773119596,-0.0038619584395005457,29.5150069768136,0.17019342869734763,0.5499999999999999,17.63600006103516
5,Turnover_Aware_DD_Guard,2017-01-01,2017-12-31,0.16394598572204377,0.16394598572204377,0.032376081959144945,4.733558753514133,-0.0029800220964678603,55.0150235182365,0.15076215966248394,0.27492240528234096,17.63600006103516
5,Vol_Target_DD_Guard,2017-01-01,2017-12-31,0.1785287880838693,0.1785287880838693,0.03460215559947806,4.795572710077608,-0.0029800220964678603,59.90854507269414,0.13896886455119786,0.15982708185894737,17.63600006103516
5,Regime_Tactical,2017-01-01,2017-12-31,0.08790136365732826,0.08790136365732826,0.039631253784909254,2.151366706017234,-0.010409013038787496,8.444735666078822,0.20171256408499338,0.7000000000000001,17.63600006103516
6,PPO_Only,2018-01-01,2018-12-31,-0.07994807433865625,-0.07994807433865625,0.11788486135073172,-0.6485225305821118,-0.12604190984714414,-0.6342975478205015,0.2249729217753312,1.0,17.01599998474121
6,A2C_Only,2018-01-01,2018-12-31,-0.10985464695434966,-0.10985464695434966,0.1462125405828209,-0.7231384797421146,-0.18234911025607048,-0.6024413653572656,0.240476424549389,0.0,17.01599998474121
6,Manual_PPO25_A2C75,2018-01-01,2018-12-31,-0.1004844815173338,-0.1004844815173338,0.12265485493512247,-0.8022754394106152,-0.16280155810002106,-0.6172206377508914,0.23515023871478494,0.25,17.01599998474121
6,Manual_PPO50_A2C50,2018-01-01,2018-12-31,-0.09238718988413364,-0.09238718988413364,0.10810159574584509,-0.84258757433833,-0.1466145182671995,-0.6301367079879594,0.2316605587327385,0.5,17.01599998474121
6,Manual_PPO75_A2C25,2018-01-01,2018-12-31,-0.0855449296249059,-0.0855449296249059,0.10631772340907548,-0.787897957808303,-0.13104970194149435,-0.6527670674374861,0.22823234835296277,0.75,17.01599998474121
6,Auto_RollingSharpe,2018-01-01,2018-12-31,-0.12101815841593055,-0.12101815841593055,0.12004836465213076,-1.0125578725355244,-0.17309533073216254,-0.6991416689522774,0.3398439566256755,0.39738145325042756,17.01599998474121
6,Auto_DD_Guard_v1,2018-01-01,2018-12-31,-0.10335864716622667,-0.10335864716622667,0.11095460079154579,-0.9271910865700128,-0.156482095260709,-0.660514207673566,0.3251778567988704,0.36363790747039965,17.01599998474121
6,Auto_DD_Guard_v2_Strong,2018-01-01,2018-12-31,-0.10335864716622667,-0.10335864716622667,0.11095460079154579,-0.9271910865700128,-0.156482095260709,-0.660514207673566,0.3251778567988704,0.36363790747039965,17.01599998474121
6,Regime_DD_Guard,2018-01-01,2018-12-31,-0.10833248272067486,-0.10833248272067486,0.11844072464762592,-0.9080673524254149,-0.16176430399364095,-0.6696933751523666,0.3174270183701498,0.39861041819162746,17.01599998474121
6,Turnover_Aware_DD_Guard,2018-01-01,2018-12-31,-0.1086303911629094,-0.1086303911629094,0.1127813695392664,-0.9620992058946239,-0.1551242280560835,-0.7002799789832652,0.2591554347483042,0.40773030909466507,17.01599998474121
6,Vol_Target_DD_Guard,2018-01-01,2018-12-31,-0.10329884348668406,-0.10329884348668406,0.11092788268850012,-0.926844139687122,-0.15642583477896332,-0.6603694564433678,0.32529232657480556,0.3635218480268756,17.01599998474121
